,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
바나나/Noun,2.4950596e-18,4.622224e-23,2.7196298e-23,2.1656191e-20,1.9785464e-21
끝/Noun,1.419881e-18,1.982004e-23,1.7982325e-21,5.1020568e-20,2.0820746e-21
별/Modifier,1.5442601e-20,2.618839e-21,7.487778e-21,7.161614e-21,3.3058285e-21
오렌지/Noun,1.453718e-19,1.9764773e-23,5.044164e-24,6.751879e-22,1.0328147e-22
아래/Noun,2.0981187e-19,7.566993e-23,1.9317561e-20,6.956729e-21,1.210421e-21
바꾸다/Verb,3.973228e-20,6.071003e-23,1.489395e-20,2.4362903e-22,6.716912e-23
스무디/Noun,2.5569595e-17,8.934516e-23,2.8080598e-22,2.165933e-20,3.779961e-19
줄이다/Verb,2.3311483e-19,6.8592256e-22,7.462371e-21,2.4471906e-20,4.332517e-22
막/Noun,3.734543e-18,2.7272045e-22,6.060117e-19,3.1393705e-18,1.12812096e-20
식감/Noun,7.165529e-19,1.0082361e-21,6.314364e-22,2.4943625e-20,9.373918e-21
평점/Noun,3.0139683e-20,1.8517147e-22,2.3253931e-19,5.38899e-20,1.5627972e-20
차라리/Noun,2.9047076e-17,3.3049352e-20,2.4540068e-19,1.2326259e-18,1.8119301e-19
밥/Noun,2.6677563e-18,5.40979e-21,1.18586955e-20,2.4779486e-18,1.1316212e-19
필요/Noun,1.2438524e-20,1.129747e-23,1.462371e-21,9.793356e-22,1.9473952e-22
요/Modifier,1.2335217e-15,5.987409e-20,1.2641021e-18,6.1855004e-16,4.3364584e-19
입구/Noun,9.2852074e-18,2.2298493e-21,2.7660483e-19,2.5492737e-18,4.4218863e-19
붙다/Verb,6.5522883e-22,7.452634e-23,5.7051183e-22,3.4154297e-20,3.8677475e-23
훨씬/Adverb,3.668938e-18,4.1717933e-20,5.271343e-22,4.1661497e-19,9.3002945e-21
가능/Noun,9.324354e-19,1.7002905e-24,1.0149462e-22,4.8900608e-21,1.4821728e-22
너/Noun,8.1374966e-20,6.917449e-24,5.3535427e-20,3.1859482e-20,5.4571722e-21
장점/Noun,3.2983906e-17,1.4271458e-19,8.7086725e-20,4.7875553e-17,2.735899e-19
