,커피/Noun,가격/Noun,직원/Noun,분위기/Noun
바로/Noun,6.376583e-19,1.6361721e-22,2.116494e-20,1.9129103e-20
후/Noun,9.437834e-18,3.1268881e-21,5.1465694e-19,3.2354544e-19
친절/Noun,1.8047284e-19,3.058988e-22,6.62804e-20,1.0231968e-19
팅/Noun,5.0333227e-24,2.1598467e-25,3.100883e-23,2.0296254e-23
샌드위치/Noun,5.625254e-19,2.3598568e-22,1.3977262e-22,1.6490316e-20
해/Noun,1.1655782e-15,9.249569e-19,7.155863e-18,9.913704e-16
힘들다/Adjective,5.895143e-21,1.6433842e-22,6.7271973e-22,5.934696e-21
스/Noun,2.6737774e-18,1.0383051e-23,1.1139188e-21,1.6627632e-21
고/Noun,2.9001793e-17,1.0304502e-21,1.0605572e-18,1.7992165e-18
적당하다/Adjective,3.0560684e-17,1.4984384e-21,8.667675e-20,2.4068105e-17
움/Noun,9.690523e-23,3.2749568e-25,1.0917648e-22,3.2915589e-21
가장/Noun,3.9161998e-19,2.680736e-23,1.2994191e-22,1.4869143e-20
아/Exclamation,1.156807e-16,8.26482e-21,4.5184718e-17,4.3494828e-18
팬케이크/Noun,2.6235125e-18,4.970157e-21,6.484629e-22,6.3661254e-21
찍다/Verb,7.471507e-23,6.5925654e-26,9.020066e-22,1.4515331e-21
소리/Noun,2.313488e-23,5.2694016e-26,1.1174982e-21,6.9887245e-22
얼음/Noun,6.666732e-21,7.2307565e-23,7.286186e-24,4.8114334e-23
가야/Noun,1.2110584e-21,1.2708133e-25,8.482772e-25,8.426828e-22
쿠키/Noun,2.185451e-15,2.3320443e-21,6.9456223e-20,1.1820098e-17
버터/Noun,1.403615e-21,3.534728e-26,1.4813348e-24,2.7563192e-24
위/Noun,8.239856e-21,4.2103147e-24,1.1944947e-22,3.6533187e-21
편이/Noun,1.4810478e-15,1.9728823e-17,1.1561927e-18,2.3196466e-16
구/Modifier,1.8329172e-20,1.4337995e-24,2.3913462e-23,6.391453e-22
즐기다/Verb,2.5971426e-20,1.2013616e-24,6.6345815e-23,1.4283658e-19
따뜻하다/Adjective,3.639845e-18,5.8793197e-25,1.0443323e-21,9.587406e-19
다시다/Verb,3.702629e-24,8.825891e-28,5.6601105e-24,1.0396001e-25
귀엽다/Adjective,6.207758e-19,1.2926015e-22,7.5595035e-20,8.3800146e-17
거의/Noun,2.3860956e-17,2.797115e-20,2.692517e-19,2.6790752e-19
평범하다/Adjective,2.450325e-16,3.0515368e-17,5.6477664e-19,2.6332613e-16
옆/Noun,1.367309e-20,8.86494e-26,1.2530475e-22,7.775342e-21
위치/Noun,3.199812e-18,2.3405119e-20,5.9861276e-21,2.9571432e-17
비엔나/Noun,7.331823e-18,9.890659e-24,1.4165401e-22,2.131719e-20
특별하다/Adjective,6.4043036e-18,8.670155e-20,5.010455e-22,1.1670225e-18
대비/Noun,9.223243e-20,3.003661e-20,2.5254662e-23,2.0601124e-20
약간/Noun,3.1820887e-18,5.889815e-21,1.6752482e-21,1.462551e-19
간/Noun,1.8652725e-19,8.554752e-25,7.804311e-22,2.5085152e-19
청포도/Noun,6.246921e-22,1.0115437e-24,6.973461e-23,1.2994985e-22
계속/Noun,4.970222e-18,2.2369183e-23,9.7068685e-17,2.9330549e-18
플/Exclamation,7.406926e-21,7.93468e-23,1.1846108e-23,1.1894395e-20
베이커리/Noun,1.6178607e-17,8.183658e-21,5.071144e-21,1.0240604e-18
스타/Noun,8.999543e-23,1.0656069e-24,1.7603983e-23,1.1171054e-22
찾아가다/Verb,5.2441086e-21,4.196989e-24,3.6824015e-24,4.952043e-22
물어보다/Verb,1.6456364e-22,1.9615581e-25,1.9827405e-20,3.3399846e-24
빼다/Verb,5.1005948e-21,3.259358e-22,2.740368e-20,2.0847939e-20
생기다/Verb,2.2435104e-20,3.2650435e-23,4.1637962e-20,6.10594e-21
음/Noun,1.799685e-16,2.3471554e-20,5.0953685e-19,1.1342414e-17
고소하다/Adjective,1.6812057e-17,1.4932165e-22,7.903621e-24,2.3713557e-20
자체/Noun,5.3585564e-17,1.8658125e-20,2.991814e-20,1.0655903e-17
끄다/Verb,1.8578226e-20,9.001839e-24,9.090292e-22,2.6255611e-21
웨이/Noun,4.0387173e-23,1.1801815e-23,2.6034672e-23,3.9254347e-23
도넛/Noun,3.8323585e-20,3.6636707e-23,1.5880837e-23,1.7843398e-22
오늘/Noun,1.8824948e-17,2.9477186e-23,9.371741e-20,8.776206e-20
저렴하다/Adjective,1.4463579e-16,3.7155705e-19,1.4504602e-20,6.353547e-17
기대/Noun,1.1239237e-21,1.1246093e-22,1.389649e-24,2.1498626e-22
직접/Noun,8.549778e-21,1.0578462e-25,1.7959957e-23,3.978927e-22
얼/Noun,1.6647824e-20,1.1430903e-23,2.8869373e-22,3.2839335e-21
